buyer,industry_buy,m_cp
France,c8,0
France,c9,0
Georgia,c1,1
Georgia,c10,0
Georgia,c11,1
Georgia,c12,0
Georgia,c13,0
Georgia,c14,0
Georgia,c15,0
Georgia,c16,0
Georgia,c17,0
Georgia,c18,1
Georgia,c19,1
Georgia,c2,0
Georgia,c20,1
Georgia,c21,1
Georgia,c22,1
Georgia,c23,1
Georgia,c24,0
Georgia,c25,1
Georgia,c26,1
Georgia,c27,1
Georgia,c28,0
Georgia,c29,1
Georgia,c3,1
Georgia,c30,0
Georgia,c31,0
Georgia,c32,1
Georgia,c33,0
Georgia,c34,1
Georgia,c35,0
Georgia,c4,0
Georgia,c5,0
Georgia,c6,0
Georgia,c7,1
Georgia,c8,0
Georgia,c9,0
Germany,c1,0
Germany,c10,1
Germany,c11,0
Germany,c12,1
Germany,c13,1
Germany,c14,0
Germany,c15,1
Germany,c16,0
Germany,c17,0
Germany,c18,0
Germany,c19,1
Germany,c2,0
Germany,c20,0
Germany,c21,0
Germany,c22,0
Germany,c23,0
Germany,c24,1
Germany,c25,0
Germany,c26,1
Germany,c27,1
Germany,c28,0
Germany,c29,1
Germany,c3,0
Germany,c30,1
Germany,c31,0
Germany,c32,1
Germany,c33,1
Germany,c34,1
Germany,c35,1
Germany,c4,0
Germany,c5,0
Germany,c6,1
Germany,c7,1
Germany,c8,0
Germany,c9,1
Greece,c1,1
Greece,c10,0
Greece,c11,0
Greece,c12,0
Greece,c13,0
Greece,c14,0
Greece,c15,0
Greece,c16,0
Greece,c17,1
Greece,c18,0
Greece,c19,1
Greece,c2,0
Greece,c20,1
Greece,c21,0
Greece,c22,1
Greece,c23,0
Greece,c24,1
Greece,c25,1
Greece,c26,1
Greece,c27,1
Greece,c28,0
Greece,c29,1
Greece,c3,1
Greece,c30,0
Greece,c31,1
Greece,c32,1
Greece,c33,0
Greece,c34,1
Greece,c35,1
Greece,c4,0
Greece,c5,0
Greece,c6,0
Greece,c7,0
Greece,c8,1
Greece,c9,0
"Hong Kong, China",c1,0
"Hong Kong, China",c10,0
"Hong Kong, China",c11,0
"Hong Kong, China",c12,0
"Hong Kong, China",c13,0
"Hong Kong, China",c14,0
"Hong Kong, China",c15,0
"Hong Kong, China",c16,0
"Hong Kong, China",c17,0
"Hong Kong, China",c18,0
"Hong Kong, China",c19,0
"Hong Kong, China",c2,0
"Hong Kong, China",c20,1
"Hong Kong, China",c21,0
"Hong Kong, China",c22,0
"Hong Kong, China",c23,0
"Hong Kong, China",c24,1
"Hong Kong, China",c25,1
"Hong Kong, China",c26,0
"Hong Kong, China",c27,1
"Hong Kong, China",c28,1
"Hong Kong, China",c29,1
"Hong Kong, China",c3,0
"Hong Kong, China",c30,0
"Hong Kong, China",c31,1
"Hong Kong, China",c32,0
"Hong Kong, China",c33,0
"Hong Kong, China",c34,0
"Hong Kong, China",c35,0
"Hong Kong, China",c4,0
"Hong Kong, China",c5,0
"Hong Kong, China",c6,0
"Hong Kong, China",c7,0
"Hong Kong, China",c8,0
"Hong Kong, China",c9,0
Croatia,c1,1
Croatia,c10,0
Croatia,c11,1
Croatia,c12,0
Croatia,c13,0
Croatia,c14,0
Croatia,c15,0
Croatia,c16,0
Croatia,c17,1
Croatia,c18,1
Croatia,c19,1
Croatia,c2,0
Croatia,c20,1
Croatia,c21,1
Croatia,c22,1
Croatia,c23,1
Croatia,c24,1
Croatia,c25,0
Croatia,c26,1
Croatia,c27,0
Croatia,c28,0
Croatia,c29,0
Croatia,c3,1
Croatia,c30,0
Croatia,c31,0
Croatia,c32,1
Croatia,c33,1
Croatia,c34,1
Croatia,c35,0
Croatia,c4,0
Croatia,c5,0
Croatia,c6,1
Croatia,c7,1
Croatia,c8,0
Croatia,c9,0
Hungary,c1,0
Hungary,c10,1
Hungary,c11,0
Hungary,c12,0
Hungary,c13,1
Hungary,c14,1
Hungary,c15,1
Hungary,c16,0
Hungary,c17,0
Hungary,c18,0
Hungary,c19,1
Hungary,c2,0
Hungary,c20,0
Hungary,c21,1
Hungary,c22,0
Hungary,c23,1
Hungary,c24,0
Hungary,c25,1
Hungary,c26,1
Hungary,c27,0
Hungary,c28,0
Hungary,c29,1
Hungary,c3,1
Hungary,c30,0
Hungary,c31,0
Hungary,c32,1
Hungary,c33,0
Hungary,c34,1
Hungary,c35,0
Hungary,c4,0
Hungary,c5,0
Hungary,c6,0
Hungary,c7,1
Hungary,c8,0
Hungary,c9,0
India,c1,1
India,c10,1
India,c11,1
India,c12,1
India,c13,0
India,c14,0
India,c15,1
India,c16,1
India,c17,0
India,c18,1
India,c19,0
India,c2,0
India,c20,0
India,c21,0
India,c22,0
India,c23,1
India,c24,0
India,c25,0
India,c26,0
India,c27,0
India,c28,0
India,c29,0
India,c3,1
India,c30,0
India,c31,0
India,c32,1
India,c33,0
India,c34,0
India,c35,0
India,c4,1
India,c5,0
India,c6,0
India,c7,0
India,c8,1
India,c9,1
Indonesia,c1,1
Indonesia,c10,0
Indonesia,c11,0
Indonesia,c12,0
Indonesia,c13,0
Indonesia,c14,0
Indonesia,c15,0
Indonesia,c16,0
Indonesia,c17,0
Indonesia,c18,1
Indonesia,c19,1
Indonesia,c2,1
Indonesia,c20,1
Indonesia,c21,0
Indonesia,c22,1
Indonesia,c23,1
Indonesia,c24,1
Indonesia,c25,1
Indonesia,c26,0
Indonesia,c27,1
Indonesia,c28,0
Indonesia,c29,0
Indonesia,c3,1
Indonesia,c30,0
Indonesia,c31,0
Indonesia,c32,0
Indonesia,c33,0
Indonesia,c34,0
Indonesia,c35,0
Indonesia,c4,1
Indonesia,c5,1
Indonesia,c6,1
Indonesia,c7,0
Indonesia,c8,1
Indonesia,c9,0
Ireland,c1,0
Ireland,c10,0
Ireland,c11,0
Ireland,c12,0
Ireland,c13,0
Ireland,c14,0
Ireland,c15,0
Ireland,c16,1
Ireland,c17,0
Ireland,c18,0
Ireland,c19,0
Ireland,c2,0
Ireland,c20,0
Ireland,c21,0
Ireland,c22,0
Ireland,c23,0
Ireland,c24,0
Ireland,c25,1
Ireland,c26,0
Ireland,c27,0
Ireland,c28,1
Ireland,c29,0
Ireland,c3,0
Ireland,c30,1
Ireland,c31,0
Ireland,c32,0
Ireland,c33,0
Ireland,c34,0
Ireland,c35,0
Ireland,c4,0
Ireland,c5,0
Ireland,c6,0
Ireland,c7,1
Ireland,c8,1
Ireland,c9,1
Italy,c1,0
Italy,c10,1
Italy,c11,0
Italy,c12,1
Italy,c13,1
Italy,c14,0
Italy,c15,0
Italy,c16,1
Italy,c17,0
Italy,c18,0
Italy,c19,1
Italy,c2,0
Italy,c20,1
Italy,c21,1
Italy,c22,1
Italy,c23,1
Italy,c24,0
Italy,c25,0
Italy,c26,1
Italy,c27,0
Italy,c28,0
Italy,c29,1
Italy,c3,1
Italy,c30,1
Italy,c31,0
Italy,c32,0
Italy,c33,1
Italy,c34,1
Italy,c35,1
Italy,c4,1
Italy,c5,1
Italy,c6,1
Italy,c7,1
Italy,c8,0
Italy,c9,0
Japan,c1,0
Japan,c10,1
Japan,c11,0
Japan,c12,1
Japan,c13,1
Japan,c14,1
Japan,c15,1
Japan,c16,0
Japan,c17,1
Japan,c18,0
Japan,c19,1
Japan,c2,0
Japan,c20,1
Japan,c21,1
Japan,c22,1
Japan,c23,1
Japan,c24,0
Japan,c25,0
Japan,c26,0
Japan,c27,1
Japan,c28,0
Japan,c29,1
Japan,c3,0
Japan,c30,0
Japan,c31,0
Japan,c32,0
Japan,c33,1
Japan,c34,1
Japan,c35,1
Japan,c4,0
Japan,c5,0
Japan,c6,0
Japan,c7,1
Japan,c8,0
Japan,c9,0
Kazakhstan,c1,1
Kazakhstan,c10,0
Kazakhstan,c11,0
Kazakhstan,c12,1
Kazakhstan,c13,0
Kazakhstan,c14,0
Kazakhstan,c15,0
Kazakhstan,c16,0
Kazakhstan,c17,0
Kazakhstan,c18,0
Kazakhstan,c19,1
Kazakhstan,c2,1
Kazakhstan,c20,1
Kazakhstan,c21,1
Kazakhstan,c22,0
Kazakhstan,c23,1
Kazakhstan,c24,0
Kazakhstan,c25,0
Kazakhstan,c26,1
Kazakhstan,c27,0
Kazakhstan,c28,0
Kazakhstan,c29,1
Kazakhstan,c3,0
Kazakhstan,c30,0
Kazakhstan,c31,0
Kazakhstan,c32,1
Kazakhstan,c33,0
Kazakhstan,c34,1
Kazakhstan,c35,1
Kazakhstan,c4,0
Kazakhstan,c5,0
Kazakhstan,c6,0
Kazakhstan,c7,0
Kazakhstan,c8,0
Kazakhstan,c9,0
Kyrgyz Republic,c1,1
Kyrgyz Republic,c10,0
Kyrgyz Republic,c11,1
Kyrgyz Republic,c12,1
Kyrgyz Republic,c13,0
Kyrgyz Republic,c14,0
Kyrgyz Republic,c15,0
Kyrgyz Republic,c16,0
Kyrgyz Republic,c17,0
Kyrgyz Republic,c18,1
Kyrgyz Republic,c19,0
Kyrgyz Republic,c2,1
Kyrgyz Republic,c20,0
Kyrgyz Republic,c21,1
Kyrgyz Republic,c22,1
Kyrgyz Republic,c23,1
Kyrgyz Republic,c24,0
Kyrgyz Republic,c25,1
Kyrgyz Republic,c26,0
Kyrgyz Republic,c27,1
Kyrgyz Republic,c28,0
Kyrgyz Republic,c29,0
Kyrgyz Republic,c3,1
Kyrgyz Republic,c30,0
Kyrgyz Republic,c31,0
Kyrgyz Republic,c32,1
Kyrgyz Republic,c33,0
Kyrgyz Republic,c34,0
Kyrgyz Republic,c35,0
Kyrgyz Republic,c4,0
Kyrgyz Republic,c5,0
Kyrgyz Republic,c6,0
Kyrgyz Republic,c7,0
Kyrgyz Republic,c8,0
Kyrgyz Republic,c9,0
South Korea,c1,0
South Korea,c10,1
South Korea,c11,0
South Korea,c12,1
South Korea,c13,1
South Korea,c14,1
South Korea,c15,1
South Korea,c16,0
South Korea,c17,1
South Korea,c18,0
South Korea,c19,0
South Korea,c2,0
South Korea,c20,0
South Korea,c21,0
South Korea,c22,1
South Korea,c23,0
South Korea,c24,1
South Korea,c25,0
South Korea,c26,0
South Korea,c27,0
South Korea,c28,0
South Korea,c29,0
South Korea,c3,0
South Korea,c30,0
South Korea,c31,0
South Korea,c32,1
South Korea,c33,0
South Korea,c34,1
South Korea,c35,0
South Korea,c4,1
South Korea,c5,0
South Korea,c6,0
South Korea,c7,1
South Korea,c8,1
South Korea,c9,1
Kuwait,c1,0
Kuwait,c10,0
Kuwait,c11,0
Kuwait,c12,0
Kuwait,c13,0
Kuwait,c14,0
Kuwait,c15,0
Kuwait,c16,0
Kuwait,c17,0
Kuwait,c18,0
Kuwait,c19,0
Kuwait,c2,1
Kuwait,c20,0
Kuwait,c21,0
Kuwait,c22,0
Kuwait,c23,0
Kuwait,c24,0
Kuwait,c25,0
Kuwait,c26,1
Kuwait,c27,1
Kuwait,c28,0
Kuwait,c29,0
Kuwait,c3,0
Kuwait,c30,0
Kuwait,c31,1
Kuwait,c32,1
Kuwait,c33,0
Kuwait,c34,0
Kuwait,c35,1
Kuwait,c4,0
Kuwait,c5,0
Kuwait,c6,0
Kuwait,c7,0
Kuwait,c8,1
Kuwait,c9,1
Laos,c1,1
Laos,c10,0
Laos,c11,1
Laos,c12,0
Laos,c13,0
Laos,c14,0
Laos,c15,0
Laos,c16,1
Laos,c17,1
Laos,c18,1
Laos,c19,1
Laos,c2,0
Laos,c20,0
Laos,c21,1
Laos,c22,0
Laos,c23,0
Laos,c24,0
Laos,c25,0
Laos,c26,0
Laos,c27,0
Laos,c28,0
Laos,c29,0
Laos,c3,1
Laos,c30,0
Laos,c31,1
Laos,c32,0
Laos,c33,0
Laos,c34,0
Laos,c35,0
Laos,c4,1
Laos,c5,1
Laos,c6,1
Laos,c7,1
Laos,c8,0
Laos,c9,0
Lithuania,c1,0
Lithuania,c10,1
Lithuania,c11,0
Lithuania,c12,0
Lithuania,c13,0
Lithuania,c14,0
Lithuania,c15,0
